user_id,movie_id,value
1,5,2
1,23,3
1,6,5
1,11,3
1,17,1
1,15,4
1,22,2
1,15,3
1,13,3
1,18,1
1,22,5
1,18,5
1,12,4
1,11,1
1,10,5
1,5,5
1,15,1
1,24,1
1,14,4
1,14,5
1,14,4
1,12,5
2,8,2
2,12,3
2,20,4
2,9,1
2,13,3
2,25,5
2,10,1
2,18,3
2,8,3
2,12,5
2,20,1
2,23,1
2,11,5
2,2,2
2,11,5
3,9,5
3,4,2
3,24,3
3,17,4
3,13,5
3,8,2
3,20,4
3,7,5
3,19,4
3,1,5
3,16,2
3,2,5
3,2,3
3,14,3
3,18,3
3,13,3
3,11,5
3,16,4
3,4,5
3,25,3
3,2,4
3,11,4
3,23,5
3,3,4
3,10,3
3,18,3
3,4,1
3,14,2
3,4,1
3,3,1
3,20,2
3,13,3
3,11,1
3,17,1
3,14,4
3,20,4
3,25,2
3,13,1
3,15,3
3,9,5
3,3,4
3,16,5
3,12,4
3,1,1
3,15,4
3,2,2
3,4,1
3,16,2
3,21,3
3,24,3
3,9,5
3,15,3
3,24,5
3,13,3
3,20,5
3,15,4
3,11,1
3,1,1
3,15,1
3,9,3
3,2,4
3,24,3
3,21,3
3,11,4
3,1,1
3,18,1
3,7,1
3,12,3
3,5,3
3,7,4
4,20,3
4,9,3
4,23,3
4,6,2
4,4,1
4,24,1
4,18,5
4,14,3
4,17,2
4,16,4
4,11,2
4,4,5
4,25,3
4,23,4
4,18,4
4,14,3
4,25,4
4,23,5
4,17,4
4,12,2
4,14,4
4,14,4
4,14,1
4,7,2
4,6,2
4,21,2
4,10,4
4,11,1
4,20,4
4,9,2
4,9,3
4,17,2
5,5,5
5,20,3
5,9,1
5,21,5
5,6,1
5,14,2
5,23,4
5,1,4
5,21,1
5,19,2
5,17,5
5,11,2
5,10,1
5,2,1
5,5,2
5,4,5
5,7,4
5,20,2
5,13,2
5,24,3
5,10,4
5,14,2
6,12,4
6,16,5
6,23,5
6,6,5
6,12,3
6,15,1
6,22,4
6,11,1
6,8,4
6,13,5
6,1,3
6,21,4
6,19,5
6,24,5
6,2,5
6,11,3
6,6,2
6,22,1
6,19,4
6,12,4
6,7,5
6,19,2
6,5,4
6,9,4
6,25,5
6,2,1
6,6,4
6,6,1
6,12,2
6,2,5
6,15,1
6,15,3
6,3,4
6,7,3
6,3,5
6,13,1
6,8,1
7,14,3
